_time,on_minutes
2026-06-11 00:00:00,0.0
2026-06-11 01:00:00,0.0
2026-06-11 02:00:00,0.0
2026-06-11 03:00:00,0.0
2026-06-11 04:00:00,0.0
2026-06-11 05:00:00,0.0
2026-06-11 06:00:00,0.0
2026-06-11 07:00:00,23.083333333333332
2026-06-11 08:00:00,56.0
2026-06-11 09:00:00,43.516666666666666
2026-06-11 10:00:00,60.0
2026-06-11 11:00:00,57.65
2026-06-11 12:00:00,57.3
2026-06-11 13:00:00,60.0
2026-06-11 14:00:00,54.96666666666667
2026-06-11 15:00:00,60.0
2026-06-11 16:00:00,54.96666666666667
2026-06-11 17:00:00,60.0
2026-06-11 18:00:00,27.700000000000003
2026-06-11 19:00:00,0.0
2026-06-11 20:00:00,0.0
2026-06-11 21:00:00,0.0
2026-06-11 22:00:00,0.0
2026-06-11 23:00:00,5.383333333333333
2026-06-12 00:00:00,60.0
2026-06-12 01:00:00,54.983333333333334
2026-06-12 02:00:00,60.0
2026-06-12 03:00:00,59.63333333333333
2026-06-12 04:00:00,55.333333333333336
2026-06-12 05:00:00,60.0
2026-06-12 06:00:00,0.0
2026-06-12 07:00:00,5.6
2026-06-12 08:00:00,60.0
2026-06-12 09:00:00,54.96666666666667
2026-06-12 10:00:00,60.0
2026-06-12 11:00:00,8.883333333333333
2026-06-12 12:00:00,0.0
2026-06-12 13:00:00,35.96666666666667
2026-06-12 14:00:00,60.0
2026-06-12 15:00:00,54.96666666666667
2026-06-12 16:00:00,60.0
2026-06-12 17:00:00,54.96666666666667
2026-06-12 18:00:00,60.0
2026-06-12 19:00:00,0.0
2026-06-12 20:00:00,0.0
2026-06-12 21:00:00,0.0
2026-06-12 22:00:00,33.666666666666664
2026-06-12 23:00:00,60.0
2026-06-13 00:00:00,54.96666666666667
2026-06-13 01:00:00,60.0
2026-06-13 02:00:00,54.96666666666667
2026-06-13 03:00:00,60.0
2026-06-13 04:00:00,54.96666666666667
2026-06-13 05:00:00,19.616666666666667
2026-06-13 06:00:00,0.0
2026-06-13 07:00:00,0.0
2026-06-13 08:00:00,14.316666666666666
2026-06-13 09:00:00,60.0
2026-06-13 10:00:00,54.93333333333333
2026-06-13 11:00:00,60.0
2026-06-13 12:00:00,60.0
2026-06-13 13:00:00,60.0
2026-06-13 14:00:00,60.0
2026-06-13 15:00:00,60.0
2026-06-13 16:00:00,60.0
2026-06-13 17:00:00,60.0
2026-06-13 18:00:00,60.0
2026-06-13 19:00:00,0.0
2026-06-13 20:00:00,0.0
2026-06-13 21:00:00,0.0
2026-06-13 22:00:00,0.0
2026-06-13 23:00:00,0.0
2026-06-14 00:00:00,0.0
2026-06-14 01:00:00,0.0
2026-06-14 02:00:00,0.0
2026-06-14 03:00:00,0.0
2026-06-14 04:00:00,0.0
2026-06-14 05:00:00,0.0
2026-06-14 06:00:00,0.0
2026-06-14 07:00:00,19.933333333333334
2026-06-14 08:00:00,60.0
2026-06-14 09:00:00,54.900000000000006
2026-06-14 10:00:00,60.0
2026-06-14 11:00:00,54.983333333333334
2026-06-14 12:00:00,60.0
2026-06-14 13:00:00,54.95
2026-06-14 14:00:00,60.0
2026-06-14 15:00:00,55.166666666666664
2026-06-14 16:00:00,59.800000000000004
2026-06-14 17:00:00,60.0
2026-06-14 18:00:00,54.93333333333334
2026-06-14 19:00:00,0.0
2026-06-14 20:00:00,0.0
2026-06-14 21:00:00,0.0
2026-06-14 22:00:00,21.4
2026-06-14 23:00:00,60.0
2026-06-15 00:00:00,60.0
2026-06-15 01:00:00,60.0
2026-06-15 02:00:00,60.0
2026-06-15 03:00:00,60.0
2026-06-15 04:00:00,60.0
2026-06-15 05:00:00,17.083333333333332
2026-06-15 06:00:00,18.166666666666664
2026-06-15 07:00:00,60.0
2026-06-15 08:00:00,54.983333333333334
2026-06-15 09:00:00,60.0
2026-06-15 10:00:00,54.96666666666667
2026-06-15 11:00:00,60.0
2026-06-15 12:00:00,60.0
2026-06-15 13:00:00,60.0
2026-06-15 14:00:00,60.0
2026-06-15 15:00:00,60.0
2026-06-15 16:00:00,60.0
2026-06-15 17:00:00,60.0
2026-06-15 18:00:00,60.0
2026-06-15 19:00:00,0.0
2026-06-15 20:00:00,0.0
2026-06-15 21:00:00,0.0
2026-06-15 22:00:00,4.25
2026-06-15 23:00:00,60.0
2026-06-16 00:00:00,55.75
2026-06-16 01:00:00,59.21666666666667
2026-06-16 02:00:00,60.0
2026-06-16 03:00:00,54.98333333333333
2026-06-16 04:00:00,60.0
2026-06-16 05:00:00,54.983333333333334
2026-06-16 06:00:00,32.55
2026-06-16 07:00:00,58.31666666666667
2026-06-16 08:00:00,58.5
2026-06-16 09:00:00,59.7
2026-06-16 10:00:00,59.95
2026-06-16 11:00:00,60.0
2026-06-16 12:00:00,54.96666666666667
2026-06-16 13:00:00,60.0
2026-06-16 14:00:00,54.96666666666667
2026-06-16 15:00:00,60.0
2026-06-16 16:00:00,54.983333333333334
